TSLA,"Tesla, Inc.",221.83,12:20PM EDT,-24.55,-9.96%,104.566M,['707.46B']
GOOG,Alphabet Inc.,174.30,12:20PM EDT,-9.30,-5.06%,15.674M,['2.142T']
T,AT&T Inc.,19.19,12:20PM EDT,+0.99,+5.41%,27.071M,['137.631B']
GOOGL,Alphabet Inc.,172.49,12:20PM EDT,-9.30,-5.12%,24.819M,['2.141T']
^IXIC,NASDAQ Composite,"17,499.77",12:20PM EDT,-497.58,-2.76%,3.241B,[]
V,Visa Inc.,253.94,12:20PM EDT,-10.85,-4.10%,6.335M,['519.587B']
LW,"Lamb Weston Holdings, Inc.",57.31,12:20PM EDT,-21.31,-27.10%,12.866M,['8.276B']
ENPH,"Enphase Energy, Inc.",118.47,12:20PM EDT,+14.83,+14.31%,8.01M,['16.119B']
NUZE,"NuZee, Inc.",3.2900,12:20PM EDT,+2.2600,+219.42%,85.057M,['7.855M']
ROKU,"Roku, Inc.",56.92,12:20PM EDT,-5.17,-8.33%,4.531M,['8.206B']
BHC,Bausch Health Companies Inc.,5.96,12:20PM EDT,-1.61,-21.27%,47.236M,['2.189B']
^GSPC,S&P 500,"5,463.61",12:20PM EDT,-92.13,-1.66%,1.133B,[]
ULTA,"Ulta Beauty, Inc.",366.25,12:18PM EDT,-23.04,-5.92%,"815,119",['17.476B']
SGMO,"Sangamo Therapeutics, Inc.",0.5395,12:20PM EDT,+0.1382,+34.40%,196.325M,['111.952M']
DRMA,"Dermata Therapeutics, Inc.",2.6809,12:20PM EDT,+1.3809,+105.48%,55.891M,['1.858M']
QQQ,Invesco QQQ Trust,467.09,12:20PM EDT,-13.53,-2.81%,22.097M,['183.615B']
TTD,"The Trade Desk, Inc.",92.48,12:20PM EDT,-8.42,-8.35%,3.71M,['45.234B']
LULU,Lululemon Athletica Inc.,271.75,12:20PM EDT,-9.62,-3.42%,"805,120",['33.969B']
SQQQ,ProShares UltraPro Short QQQ,8.89,12:20PM EDT,+0.71,+8.68%,107.074M,[]
^DJI,Dow Jones Industrial Average,"40,075.13",12:20PM EDT,-282.96,-0.70%,144.422M,[]
TQQQ,ProShares UltraPro QQQ,67.13,12:20PM EDT,-6.23,-8.50%,39.727M,[]
CNR.TO,Canadian National Railway Company,158.69,12:20PM EDT,-6.66,-4.03%,1.275M,['100.959B']
GD,General Dynamics Corporation,282.43,12:20PM EDT,-12.02,-4.08%,1.104M,['77.49B']
PIRS,"Pieris Pharmaceuticals, Inc.",14.32,12:20PM EDT,+6.38,+80.44%,5.021M,['18.911M']
^VIX,CBOE Volatility Index,17.06,11:05AM CDT,+2.34,+15.91%,0,[]
BBLG,Bone Biologics Corporation,1.8566,12:20PM EDT,+0.6066,+49.18%,35.872M,['2.043M']
BXMT,"Blackstone Mortgage Trust, Inc.",17.85,12:20PM EDT,-1.77,-9.04%,5.153M,['3.099B']
STX,Seagate Technology Holdings plc,110.71,12:20PM EDT,+5.41,+5.14%,5.054M,['23.248B']
QXO,"QXO, Inc.",123.45,12:19PM EDT,+44.15,+55.68%,"127,232",['42.172B']
LUMN,"Lumen Technologies, Inc.",1.5694,12:20PM EDT,+0.0794,+5.33%,20.416M,['1.593B']
